                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3366,                 2.7959,                 1.6414,                0.63781,                   0.85,                0.84682,                0.63462,                 1.6563,                  1.079,                 1.3869,                      0,                      0,                      0
                      2,                 1.2254,                 2.6867,                 1.5249,                0.63114,                   0.85,                0.84673,                0.63424,                 1.6586,                 1.0685,                 1.3787,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                  1.137,                 3.6424,                 1.5636,                0.62417,                   0.85,                0.84768,                0.63513,                 1.6769,                 1.0722,                 1.3803,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                  1.249,                 2.7235,                 1.3779,                 0.6288,                   0.85,                0.84876,                0.63511,                 1.6743,                 1.0727,                 1.3823,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                 1.3586,                 3.0652,                 1.7164,                0.63394,                   0.85,                 0.8534,                0.61316,                  1.683,                 1.0638,                 1.3818,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                 1.5018,                 4.0803,                 1.9224,                 0.6209,                   0.85,                0.89088,                0.61476,                 1.7014,                 1.0641,                 1.3795,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                  1.155,                 1.9189,                 1.4256,                0.61933,                   0.85,                0.89197,                0.61591,                 1.6987,                 1.0665,                 1.3788,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                 1.3457,                 4.0087,                 1.5857,                0.62429,                   0.85,                0.85722,                0.61318,                   1.67,                 1.0721,                 1.3584,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                 1.0799,                 2.6826,                 1.3716,                0.61311,                   0.85,                0.85766,                0.61206,                 1.6935,                 1.0708,                 1.3715,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                   1.25,                  3.414,                 1.6256,                0.61988,                   0.85,                0.85597,                0.60853,                 1.6953,                 1.0815,                 1.3714,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                 1.1948,                 2.4415,                 1.4529,                 0.6141,                   0.85,                0.85406,                 0.6075,                 1.6825,                 1.0763,                 1.3667,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                0.99464,                 2.0039,                 1.3835,                0.60584,                   0.85,                0.85391,                0.61591,                 1.6879,                 1.0912,                 1.3715,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                 0.8594,                 2.2207,                 1.1373,                0.59111,                0.85575,                0.85507,                0.62437,                 1.6771,                 1.0928,                  1.364,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                  1.074,                 2.4928,                 1.4877,                0.59165,                0.86608,                0.85599,                0.62506,                  1.677,                 1.1127,                 1.3661,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                0.93892,                 1.6514,                 1.1299,                0.60384,                0.86003,                0.85624,                0.62513,                  1.676,                 1.1192,                 1.3669,             1.4351e-05,             1.4351e-05,             1.4351e-05
                     16,                 1.1946,                 2.4719,                 1.6103,                0.59829,                0.86667,                0.88751,                0.62137,                 1.6818,                 1.1397,                  1.373,             1.5199e-05,             1.5199e-05,             1.5199e-05
                     17,                0.82732,                 1.8025,                 1.1848,                0.61033,                0.86538,                0.88753,                0.61293,                 1.6744,                 1.1481,                 1.3725,             1.6024e-05,             1.6024e-05,             1.6024e-05
                     18,                 1.1425,                 1.5368,                 1.3524,                0.61033,                0.86538,                0.88753,                0.61293,                 1.6744,                 1.1481,                 1.3725,             1.6825e-05,             1.6825e-05,             1.6825e-05
                     19,                0.99967,                 1.9554,                 1.1464,                0.62357,                0.86585,                0.87158,                0.60973,                 1.6847,                 1.1797,                 1.3869,             1.7603e-05,             1.7603e-05,             1.7603e-05
                     20,                0.86217,                 1.4612,                 1.1929,                0.62357,                0.86585,                0.87158,                0.60973,                 1.6847,                 1.1797,                 1.3869,             1.8357e-05,             1.8357e-05,             1.8357e-05
                     21,                 1.2791,                 2.8185,                 1.7037,                0.63285,                0.86667,                0.86493,                0.60835,                 1.6964,                 1.2096,                 1.3939,             1.9088e-05,             1.9088e-05,             1.9088e-05
                     22,                 1.0929,                 2.3443,                  1.523,                0.63285,                0.86667,                0.86493,                0.60835,                 1.6964,                 1.2096,                 1.3939,             1.9795e-05,             1.9795e-05,             1.9795e-05
                     23,                 1.0531,                 1.8856,                 1.4658,                0.63307,                    0.7,                0.86584,                0.60956,                 1.6787,                 1.2292,                 1.3801,             2.0478e-05,             2.0478e-05,             2.0478e-05
                     24,                 1.0013,                 2.2532,                 1.4716,                0.63307,                    0.7,                0.86584,                0.60956,                 1.6787,                 1.2292,                 1.3801,             2.1138e-05,             2.1138e-05,             2.1138e-05
                     25,                0.85991,                 1.4869,                 1.2347,                0.63987,                    0.7,                0.85566,                0.60651,                 1.6798,                  1.275,                 1.3847,             2.1774e-05,             2.1774e-05,             2.1774e-05
                     26,                  1.108,                  1.845,                  1.437,                0.63987,                    0.7,                0.85566,                0.60651,                 1.6798,                  1.275,                 1.3847,             2.2387e-05,             2.2387e-05,             2.2387e-05
                     27,                0.90487,                 1.7088,                 1.3879,                0.64341,                    0.7,                0.85564,                0.60621,                 1.7033,                 1.3086,                 1.4017,             2.2976e-05,             2.2976e-05,             2.2976e-05
                     28,                0.82398,                 1.2857,                 1.1577,                0.64341,                    0.7,                0.85564,                0.60621,                 1.7033,                 1.3086,                 1.4017,             2.3542e-05,             2.3542e-05,             2.3542e-05
                     29,                0.97455,                 1.5194,                 1.2467,                0.64663,                    0.7,                0.85214,                0.60958,                 1.6588,                 1.3137,                 1.3732,             2.4084e-05,             2.4084e-05,             2.4084e-05
                     30,                  1.291,                 2.4118,                 1.6163,                0.64663,                    0.7,                0.85214,                0.60958,                 1.6588,                 1.3137,                 1.3732,             2.4602e-05,             2.4602e-05,             2.4602e-05
                     31,                 1.0155,                 1.4342,                 1.3245,                0.64099,                    0.7,                0.85275,                0.59999,                 1.6691,                 1.3524,                 1.3812,             2.5097e-05,             2.5097e-05,             2.5097e-05
                     32,                0.79199,                 1.2797,                 1.1837,                0.64099,                    0.7,                0.85275,                0.59999,                 1.6691,                 1.3524,                 1.3812,             2.5568e-05,             2.5568e-05,             2.5568e-05
                     33,                0.86229,                 1.2132,                 1.4034,                0.64075,                    0.7,                0.85381,                0.59652,                 1.6535,                 1.3889,                 1.3765,             2.6016e-05,             2.6016e-05,             2.6016e-05
                     34,                 1.0175,                 1.2324,                 1.2718,                0.64075,                    0.7,                0.85381,                0.59652,                 1.6535,                 1.3889,                 1.3765,              2.644e-05,              2.644e-05,              2.644e-05
                     35,                0.91795,                 2.2184,                 1.3185,                0.66338,                    0.7,                0.85385,                 0.5774,                 1.6572,                 1.4218,                 1.3871,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                0.90303,                 1.5197,                 1.1847,                0.66338,                    0.7,                0.85385,                 0.5774,                 1.6572,                 1.4218,                 1.3871,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                0.77408,                  1.125,                 1.1702,                0.67653,                    0.7,                0.85369,                0.56505,                 1.6656,                 1.4834,                 1.3909,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                0.52339,                0.74994,                0.99649,                0.67653,                    0.7,                0.85369,                0.56505,                 1.6656,                 1.4834,                 1.3909,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                0.63183,                0.92722,                 1.0053,                0.67873,                    0.7,                0.82537,                0.56525,                 1.6505,                 1.5041,                 1.3934,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                0.80076,                0.80346,                 1.1691,                0.67873,                    0.7,                0.82537,                0.56525,                 1.6505,                 1.5041,                 1.3934,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                0.75558,                 0.9339,                 1.0754,                0.68881,                    0.7,                0.74356,                0.49109,                 1.6341,                 1.5427,                 1.3918,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                0.83305,                 1.8076,                  1.254,                0.68881,                    0.7,                0.74356,                0.49109,                 1.6341,                 1.5427,                 1.3918,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                0.83996,                 1.2776,                 1.2273,                 0.7068,                0.59386,                 0.7439,                0.47688,                 1.6276,                 1.6039,                 1.3977,             2.9198e-05,             2.9198e-05,             2.9198e-05
                     44,                 1.0846,                 1.0113,                 1.4446,                 0.7068,                0.59386,                 0.7439,                0.47688,                 1.6276,                 1.6039,                 1.3977,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                0.63062,                0.93967,                0.99563,                0.69218,                0.68914,                 0.7435,                0.47808,                  1.615,                 1.6095,                 1.3926,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                0.79949,                 1.0089,                 1.2209,                0.69218,                0.68914,                 0.7435,                0.47808,                  1.615,                 1.6095,                 1.3926,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                0.88484,                 1.4664,                 1.3424,                0.66015,                 0.6869,                0.73404,                0.45279,                 1.6307,                 1.6696,                 1.4013,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                0.86273,                 1.6996,                 1.2048,                0.66015,                 0.6869,                0.73404,                0.45279,                 1.6307,                 1.6696,                 1.4013,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                0.70394,                0.76727,                 1.2703,                0.67846,                0.66814,                0.72316,                 0.4444,                 1.6556,                 1.6999,                 1.4041,             2.9977e-05,             2.9977e-05,             2.9977e-05
